训练集大小: 16394376 tokens
验证集大小: 37082 tokens
Model Config: Norm=pre, UseNorm=True, FFN=swiglu, RoPE=True
Iter 0: train_loss 9.2718, val_loss 9.2672, lr 0.00e+00
Iter 10: train_loss 9.2533, val_loss 9.2501, lr 6.00e-06
Iter 20: train_loss 9.2054, val_loss 9.2118, lr 1.20e-05
Iter 30: train_loss 9.1419, val_loss 9.1331, lr 1.80e-05
Iter 40: train_loss 8.9997, val_loss 9.0285, lr 2.40e-05
Iter 50: train_loss 8.8634, val_loss 8.8270, lr 3.00e-05
Iter 60: train_loss 8.6650, val_loss 8.5866, lr 3.60e-05
Iter 70: train_loss 8.4419, val_loss 8.3252, lr 4.20e-05
Iter 80: train_loss 8.2078, val_loss 8.1274, lr 4.80e-05
Iter 90: train_loss 7.9786, val_loss 7.9368, lr 5.40e-05
Iter 100: train_loss 7.8259, val_loss 7.7941, lr 6.00e-05
Iter 110: train_loss 7.5416, val_loss 7.6092, lr 6.60e-05
Iter 120: train_loss 7.4195, val_loss 7.4194, lr 7.20e-05
Iter 130: train_loss 7.2646, val_loss 7.3394, lr 7.80e-05
Iter 140: train_loss 7.2221, val_loss 7.2392, lr 8.40e-05
Iter 150: train_loss 7.1410, val_loss 7.2338, lr 9.00e-05
Iter 160: train_loss 7.1377, val_loss 7.1339, lr 9.60e-05
Iter 170: train_loss 7.0926, val_loss 7.0748, lr 1.02e-04
Iter 180: train_loss 6.9915, val_loss 7.1039, lr 1.08e-04
Iter 190: train_loss 7.0818, val_loss 7.0274, lr 1.14e-04
Iter 200: train_loss 6.9646, val_loss 6.9751, lr 1.20e-04
Iter 210: train_loss 6.8389, val_loss 6.9134, lr 1.26e-04
Iter 220: train_loss 6.7888, val_loss 6.9529, lr 1.32e-04
Iter 230: train_loss 6.6912, val_loss 6.7600, lr 1.38e-04
Iter 240: train_loss 6.6197, val_loss 6.7677, lr 1.44e-04
Iter 250: train_loss 6.6689, val_loss 6.6678, lr 1.50e-04
Iter 260: train_loss 6.5412, val_loss 6.6532, lr 1.56e-04
Iter 270: train_loss 6.4921, val_loss 6.5942, lr 1.62e-04
Iter 280: train_loss 6.5511, val_loss 6.5627, lr 1.68e-04
Iter 290: train_loss 6.3856, val_loss 6.4700, lr 1.74e-04
Iter 300: train_loss 6.2732, val_loss 6.4496, lr 1.80e-04
Iter 310: train_loss 6.4496, val_loss 6.4117, lr 1.86e-04
Iter 320: train_loss 6.2301, val_loss 6.3964, lr 1.92e-04
Iter 330: train_loss 6.2359, val_loss 6.2659, lr 1.98e-04
Iter 340: train_loss 6.3266, val_loss 6.3393, lr 2.04e-04
Iter 350: train_loss 6.3101, val_loss 6.3290, lr 2.10e-04
Iter 360: train_loss 6.1688, val_loss 6.2192, lr 2.16e-04
Iter 370: train_loss 6.0947, val_loss 6.1577, lr 2.22e-04
Iter 380: train_loss 6.1290, val_loss 6.2170, lr 2.28e-04
Iter 390: train_loss 6.1415, val_loss 6.1318, lr 2.34e-04
Iter 400: train_loss 6.0558, val_loss 6.0270, lr 2.40e-04
Iter 410: train_loss 5.8910, val_loss 6.1133, lr 2.46e-04
Iter 420: train_loss 5.9962, val_loss 6.0689, lr 2.52e-04
Iter 430: train_loss 5.9794, val_loss 6.1369, lr 2.58e-04
Iter 440: train_loss 5.8357, val_loss 6.0007, lr 2.64e-04
Iter 450: train_loss 6.0295, val_loss 6.1333, lr 2.70e-04
Iter 460: train_loss 5.7445, val_loss 5.9427, lr 2.76e-04
Iter 470: train_loss 5.7363, val_loss 5.9260, lr 2.82e-04
Iter 480: train_loss 5.6624, val_loss 5.9315, lr 2.88e-04
Iter 490: train_loss 5.7653, val_loss 5.8826, lr 2.94e-04
Iter 499: train_loss 5.6431, val_loss 5.8503, lr 2.99e-04
